,section,title,author,date,address
147,[뉴스],"삼성, 갤럭시Z폴드2·노트20 시리즈 공개",이기종 기자,2020-08-06 09:44,http://www.thelec.kr/news/articleView.html?idxno=6990
148,[전자엔지니어],"ST, MCU 확장 패키지 발표",이혜진 기자,2020-08-06 00:55,http://www.thelec.kr/news/articleView.html?idxno=6989
149,[뉴스],"하이비젼시스템 자회사 큐비콘, 로보라이즌과 업무협약 체결",이기종 기자,2020-08-05 20:41,http://www.thelec.kr/news/articleView.html?idxno=6988
150,[뉴스],"도레이첨단소재, 육군5포병여단에 마스크 기증",이기종 기자,2020-08-05 15:44,http://www.thelec.kr/news/articleView.html?idxno=6986
151,[배터리],"에코프로비엠, 삼성SDI 전용 배터리 양극재 공장 내달 착공",이수환 기자,2020-08-05 15:44,http://www.thelec.kr/news/articleView.html?idxno=6985
152,[완성품],"삼성, 갤노트20 부품발주 20% 감소...재고 최소화 목적",이기종 기자,2020-08-05 15:44,http://www.thelec.kr/news/articleView.html?idxno=6982
153,[뉴스],"3개월 만에 또, 포스코케미칼 배터리 핵심소재에 2895억원 투자",이수환 기자,2020-08-05 13:41,http://www.thelec.kr/news/articleView.html?idxno=6983
154,[전자엔지니어],"ST마이크로 ToF 센서, 거리 감지용 기기에 채택",이혜진 기자,2020-08-05 13:41,http://www.thelec.kr/news/articleView.html?idxno=6981
155,[전자엔지니어],"인피니언, 건물 출입자 실시간 감지 솔루션 출시",이혜진 기자,2020-08-05 13:41,http://www.thelec.kr/news/articleView.html?idxno=6980
156,[뉴스],"일진복합소재, 현대차에 수소저장시스템·연료탱크 추가 공급",이기종 기자,2020-08-04 17:15,http://www.thelec.kr/news/articleView.html?idxno=6970
157,[전자엔지니어],"로옴, 소형 프린터 헤드 'TH3001-2P1W00A' 개발",이혜진 기자,2020-08-04 17:15,http://www.thelec.kr/news/articleView.html?idxno=6972
158,[뉴스],"램리서치코리아, 하반기 신입 엔지니어 모집",이혜진 기자,2020-08-04 17:14,http://www.thelec.kr/news/articleView.html?idxno=6969
159,[배터리],LG화학 '제로 계약금' 체계 손질하나,이수환 기자,2020-08-04 16:52,http://www.thelec.kr/news/articleView.html?idxno=6976
160,[뉴스],"트라이나믹스, '마스크 착용 얼굴인식' 보안 솔루션 개발",이기종 기자,2020-08-04 16:09,http://www.thelec.kr/news/articleView.html?idxno=6966
161,[영상],베트남 최대 배터리 사업 따낸 국내 상장사 3곳은,장현민 PD,2020-08-04 15:54,http://www.thelec.kr/news/articleView.html?idxno=6975
